"","Scientific_Name","Also_known_as","Genus","Family","Life_cycle","Origin","Habitat","Bloom_season","Plant_height","Wetland_Indicator_Status","Flower_shape_1","Leaf_attachment_1","Leaf_type_1","Fruit_type_1","Status","Cluster_type_1","Flower_shape_2","Cluster_type_2","Leaf_type_2","Fruiting_season","Leaf_attachment_2","Flower_shape_3","Fruit_type_2","Leaf_type_3","Leaf_type_4","Cluster_type_3","Flower_shape_4","Leaf_attachment_3"
"1","Abies balsamea","","Abies","Pinaceae (Pine)","perennial woody","native","sun; moist to wet; peat swamps,  moist upland forest","May - June","50 to 85 feet","GP: FAC
MW: FACW
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abutilon theophrasti","Indian Mallow, Pie-marker","Abutilon","Malvaceae (Mallow)","annual","Asia","part shade, sun; disturbed soil; roadsides,  waste areas,  agricultural margins","August - October","3 to 7 feet","GP: UPL
MW: FACU
NCNE: FACU","5-petals","alternate","simple","capsule/pod","Noxious Weed
Weedy","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acalypha rhomboidea","Rhombic Copperleaf","Acalypha","Euphorbiaceae (Spurge)","annual","native","part shade, sun; disturbed soil,  waste places","June - October","8 to 24 inches","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","simple",NA,NA,"whorled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acer ginnala","Ginnala Maple","Acer","Sapindaceae (Soapberry)","perennial woody","Asia","part shade, sun; urban and suburban landscapes,  disturbed soil,  woodland edges,  fencerows,  open fields and savanna","April - May","15 to 20 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","opposite","lobed","seed without plume","Invasive - ERADICATE!","panicle","indistinct","raceme","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acer negundo","Ash-leaf Maple, Manitoba Maple","Acer","Sapindaceae (Soapberry)","perennial woody","native","part shade, sun; average to moist; river bottoms,  lakeshores,  windbreaks,  woods","April - May","30 to 50 feet","GP: FAC
MW: FAC
NCNE: FAC","5-petals","opposite","compound","seed without plume",NA,NA,"indistinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Acer nigrum","","Acer","Sapindaceae (Soapberry)","perennial woody","native","part shade, shade, sun; mesic forest,  floodplain margins","April - June","60 to 100 feet","GP: none
MW: FACU
NCNE: FACU","5-petals","opposite","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acer platanoides","","Acer","Sapindaceae (Soapberry)","perennial woody","Europe, Asia","part shade, sun; urban landscapes,  forests","May","50 to 70 feet","GP: UPL
MW: UPL
NCNE: UPL","5-petals","opposite","lobed","seed without plume","Invasive - ERADICATE!","panicle",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acer rubrum","","Acer","Sapindaceae (Soapberry)","perennial woody","native","part shade, sun; along shores,  hardwood swamps","April - May","50 to 95 feet","GP: FAC
MW: FAC
NCNE: FAC","5-petals","opposite","lobed","seed without plume",NA,"round","indistinct",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acer saccharinum","","Acer","Sapindaceae (Soapberry)","perennial woody","native","sun; low wet woodlands,  floodplains,  riverbanks","March - April","60 to 100 feet","GP: FAC
MW: FACW
NCNE: FACW","indistinct","opposite","lobed","seed without plume",NA,"round",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acer saccharum","","Acer","Sapindaceae (Soapberry)","perennial woody","native","part shade, shade, sun; mesic forest","April - June","60 to 100 feet","GP: UPL
MW: FACU
NCNE: FACU","5-petals","opposite","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Acer spicatum","","Acer","Sapindaceae (Soapberry)","perennial woody","native","part shade, sun; moist; forests,  thickets,  conifer swamps","June - July","10 to 25 feet","none","5-petals","opposite","lobed","seed without plume",NA,"panicle",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acer X freemanii","","Acer","Sapindaceae (Soapberry)","perennial woody","native","sun; urban and suburban landscapes","April - May","45 to 70 feet","none",NA,"opposite","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Achillea alpina","Chinese Yarrow, Alpine Yarrow","Achillea","Asteraceae (Aster)","perennial","native","part shade, sun; average to moist soil; open woods,  woodland edges,  meadows,  stream banks,  roadsides","July - August","20 to 36 inches","none","7+petals","alternate","lobed","seed without plume","State Threatened","flat",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Achillea millefolium","","Achillea","Asteraceae (Aster)","perennial","native","part shade, sun; fields,  prairies,  open woods. roadsides","June - September","1 to 3 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","lobed","seed without plume",NA,"flat",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Achillea ptarmica","Sneezeweed, Pearly Yarrow","Achillea","Asteraceae (Aster)","perennial","Eurasia","sun; disturbed sandy or gravelly soil; roadsides,  railroads,  fields,  waste areas,  gardens","July - September","1 to 2 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","simple","seed without plume","Weedy","flat",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Achnatherum hymenoides","Indian Mountain Ricegrass","Achnatherum","Poaceae (Grass)","perennial","native","sun; dry sandy or rocky soil; prairies,  grasslands,  dunes",NA,"10 to 28 inches","GP: FACU
MW: FACU
NCNE: FACU","irregular","alternate","simple","seed without plume","State Endangered","panicle",NA,NA,NA,"July - August","basal",NA,NA,NA,NA,NA,NA,NA
"17","Acorus americanus","","Acorus","Acoraceae (Sweet-flag)","perennial","native","sun; silty soil in quiet water to 20 inches deep; ponds,  lakes,  marshes","June - July","2 to 6 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","basal","simple","capsule/pod",NA,"spike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Actaea pachypoda","Doll's-eyes","Actaea","Ranunculaceae (Buttercup)","perennial","native","part shade, shade; rich woods","May - June","18 to 30 inches","GP: none
MW: FACU
NCNE: UPL","indistinct","alternate","compound","berry/drupe",NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Actaea rubra","","Actaea","Ranunculaceae (Buttercup)","perennial","native","part shade, shade; woods","May - June","1 to 3 feet","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","compound","berry/drupe",NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Adiantum pedatum","Northern Maidenhair","Adiantum","Pteridaceae (Maidenhair)","perennial","native","part shade, shade; rich deciduous woods",NA,"1 to 2 feet","GP: FAC
MW: FACU
NCNE: FACU",NA,"alternate","compound","spores on leaf",NA,NA,NA,NA,NA,"summer, fall",NA,NA,NA,NA,NA,NA,NA,NA
"21","Adlumia fungosa","Climbing Fumitory, Mountain Fringe","Adlumia","Fumariaceae (Fumitory)","biennial","native","part shade, shade, sun; moist,  rocky woods,  thickets and slopes","June - September","2 to 12 feet","none","irregular","opposite","compound","capsule/pod","State Special Concern","panicle","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Adoxa moschatellina","Musk-root","Adoxa","Adoxaceae (Moschatel)","perennial","native","part shade, shade; moist rich hardwood forest","April - May","2 to 6 inches","GP: FAC
MW: FAC
NCNE: FAC","4-petals","basal","compound",NA,NA,"round","5-petals",NA,"lobed",NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"23","Aegopodium podagraria","Bishop's Goutweed, Snow-on-the-mountain","Aegopodium","Apiaceae (Carrot)","perennial","Europe, Asia","part shade, shade, sun; woods,  floodplains,  roadsides,  banks,  gardens","May - June","12 to 30 inches","GP: none
MW: FAC
NCNE: FAC","5-petals","alternate","compound","seed without plume","Weedy","flat",NA,NA,"lobed",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"24","Aesculus glabra","","Aesculus","Sapindaceae (Soapberry)","perennial woody","southeast US","part shade, sun; average moisture to wet; deciduous forests,  floodplains,  urban and rural landscapes","May - June","20 to 60 feet","GP: FAC
MW: FAC
NCNE: FAC","4-petals","opposite","compound","capsule/pod",NA,"panicle","irregular",NA,"palmate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Aesculus hippocastanum","","Aesculus","Sapindaceae (Soapberry)","perennial woody","Europe","sun; urban landscapes","May - June","30 to 50(100) feet","none","4-petals","opposite","compound","capsule/pod",NA,"panicle","5-petals",NA,"palmate",NA,NA,"irregular",NA,NA,NA,NA,NA,NA
"26","Aethusa cynapium","","Aethusa","Apiaceae (Carrot)","annual, biennial","Europe","part shade, sun;","July - August","1 to 2 feet","none","5-petals","alternate","compound","seed without plume","Weedy","flat",NA,NA,"lobed",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Agalinis aspera","Rough Gerardia","Agalinis","Orobanchaceae (Broomrape)","annual","native","sun; dry,  sandy prairies,  open woods","August - October","6 to 24 inches","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","simple","capsule/pod",NA,NA,"tubular",NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
